Account,date,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,num_trades,total_volume_usd,avg_trade_size_usd,total_fees,avg_trade_size_tokens,win_rate,long_short_ratio,value,classification
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.9001,-708.8872,5734.4731,-117990.1041,883.757,462,6842632.02,14810.8918,1112.8956,12.2965,0.025974025974025976,0.0,74.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.72,574.4147,4509.2568,-19841.2401,135329.0901,3356,54854631.95,16345.2419,6292.4167,16.7001,0.40554231227651966,0.205,44.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.4461,64.3983,214.0059,0.0,2325.6884,320,797679.97,2492.7499,202.1672,129.5396,0.53125,34.0,74.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.7271,4.8397,176.8547,-6820.7696,4037.872,3533,5982611.5,1693.3517,1664.9147,851.7959,0.43504104160769885,0.7312,44.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,10179.1474,2.9703,36.793,-1162.0263,549.0,3427,5255196.19,1533.4684,862.7561,178.4321,0.44236941931718704,1.5773,,Unknown
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,-0.2,0.2868,-0.6204,0.0,5,30351.0,6070.2,10.1979,40.0,0.0,0.0,50.0,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602,358.632,687.2601,0.0,1584.3428,5,159708.3,31941.66,34.6621,83.0989,0.8,0.0,74.0,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.9282,26.3829,110.8488,-122.0297,1265.8206,1136,12310719.5,10836.901,3644.1971,25.6917,0.43045774647887325,0.1868,44.0,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15,-102199.2797,-38.3775,642.6836,-25818.7501,1219.4801,2663,21372661.62,8025.7836,5591.9258,261.4343,0.246714232069095,0.0,,Unknown
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386,18.832,105.0254,-240.4522,4396.8627,6472,3129795.22,483.5901,1079.2968,2773.3333,0.4437577255871446,0.9444,74.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.0957,1.5359,120.3524,-7784.1629,1481.3791,6794,3622817.7,533.2378,1137.5275,1420.9181,0.4327347659699735,1.9451,44.0,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-15,149.3329,3.3185,5.3779,-1.1174,23.0931,45,4409.18,97.9818,1.5431,58.988,0.5777777777777777,0.0,,Unknown
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.7294,68.4348,369.8834,-195.7415,6608.9429,763,2244613.0,2941.8257,737.2245,33318.9577,0.4744429882044561,763.0,74.0,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.2546,47.1114,208.5169,-996.7456,4465.0345,2471,7919556.56,3205.0006,2370.0235,25288.359,0.5337919870497774,823.0,44.0,Fear
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-06-15,30.0209,6.0042,13.323,0.0,29.8368,5,2710.64,542.128,0.9487,2082.8,0.6,5.0,,Unknown
